date,game,category,sales,first_commission,final_commission,commission_rate_%,year,quarter,game_group
2018-01-01,LUCKY-3,lottery,776.0,66.73,68.87,8.875000000000002,2018,1,LUCKY-3
2018-01-01,PLUS-5,lottery,196.0,18.32,11.73,5.98469387755102,2018,1,PLUS-5
2018-01-01,CAST WED,bettting,41.0,4.92,5.82,14.195121951219514,2018,1,CAST_GAMES
2018-01-01,CAST SAT,bettting,19.5,2.34,2.77,14.205128205128206,2018,1,CAST_GAMES
2018-01-01,CAST SUN,bettting,108.0,12.96,15.19,14.064814814814813,2018,1,CAST_GAMES
2018-01-01,CASTGOALS,bettting,0.75,0.09,0.11,14.666666666666666,2018,1,CAST_GAMES
2018-01-01,GREYHOUNDS,bettting,79.2,6.07,5.71,7.2095959595959584,2018,1,GREYHOUNDS
2018-01-01,BET PRE_1,bettting,2007.5,57.36,73.91,3.6816936488169363,2018,1,BETTING
2018-01-01,BET PRE_2,bettting,5225.75,287.25,410.9,7.862986174233363,2018,1,BETTING
2018-01-01,BET PRE_3,bettting,8901.0,829.42,852.87,9.581732389619143,2018,1,BETTING
2018-01-01,BET PRE_4,bettting,21830.5,2655.6,2743.2,12.565905499186917,2018,1,BETTING
2018-01-01,BET LIVE_1,bettting,0.0,0.0,0.0,,2018,1,BETTING
2018-01-01,BET LIVE_2,bettting,0.0,0.0,0.0,,2018,1,BETTING
2018-01-01,BET LIVE_3,bettting,0.0,0.0,0.0,,2018,1,BETTING
2018-01-01,BET LIVE_4,bettting,0.0,0.0,0.0,,2018,1,BETTING
2018-01-01,BET LIVE_5+,bettting,0.0,0.0,0.0,,2018,1,BETTING
2018-01-01,V-SOCCER,virtual,44388.75,1599.91,1689.28,3.8056489538452873,2018,1,VIRTUAL
2018-01-01,BET SELF_1,bettting,6535.0,184.43,183.04,2.8009181331293034,2018,1,BETTING
2018-01-01,BET SELF_2,bettting,1079.0,59.44,62.69,5.810009267840592,2018,1,BETTING
2018-01-01,BET SELF_3,bettting,555.0,51.78,45.72,8.237837837837837,2018,1,BETTING
2018-01-01,BET SELF_4,bettting,158.0,19.16,17.58,11.126582278481012,2018,1,BETTING
2018-01-01,V-SOCCER SELF_1,virtual,0.0,0.0,0.0,,2018,1,VIRTUAL
2018-01-01,V-SOCCER SELF_2,virtual,0.0,0.0,0.0,,2018,1,VIRTUAL
2018-01-01,V-SOCCER SELF_3,virtual,0.0,0.0,0.0,,2018,1,VIRTUAL
2018-01-01,V-SOCCER SELF_4,virtual,0.0,0.0,0.0,,2018,1,VIRTUAL
2018-04-01,FINO,lottery,106116.0,7746.51,8024.33,7.561847412265823,2018,2,FINO
2018-04-01,JACKPOT,lottery,14565.5,1820.77,1803.72,12.383508976691497,2018,2,JACKPOT
2018-04-01,LOTO,lottery,2630.5,386.75,394.54,14.998669454476335,2018,2,LOTO
2018-04-01,SEVEN-IN-ROW,lottery,1003.5,111.43,124.35,12.391629297458893,2018,2,SEVEN-IN-ROW
2018-04-01,LUCKY-3,lottery,642.5,56.58,58.9,9.167315175097276,2018,2,LUCKY-3
2018-04-01,PLUS-5,lottery,193.0,16.19,13.97,7.238341968911917,2018,2,PLUS-5
2018-04-01,CAST WED,bettting,7.25,0.87,1.03,14.206896551724139,2018,2,CAST_GAMES
2018-04-01,CAST SAT,bettting,59.0,7.08,8.37,14.1864406779661,2018,2,CAST_GAMES
2018-04-01,CAST SUN,bettting,61.75,7.41,8.85,14.331983805668017,2018,2,CAST_GAMES
2018-04-01,CASTGOALS,bettting,5.5,0.66,0.8,14.545454545454547,2018,2,CAST_GAMES
2018-04-01,GREYHOUNDS,bettting,166.5,12.53,12.99,7.801801801801803,2018,2,GREYHOUNDS
2018-04-01,BET PRE_1,bettting,5533.0,138.48,161.61,2.9208386047352253,2018,2,BETTING
2018-04-01,BET PRE_2,bettting,4556.75,229.04,341.57,7.495912657047238,2018,2,BETTING
2018-04-01,BET PRE_3,bettting,8332.25,709.82,748.3,8.98076749977497,2018,2,BETTING
2018-04-01,BET PRE_4,bettting,16822.25,1856.78,2071.59,12.314583364294315,2018,2,BETTING
2018-04-01,BET LIVE_1,bettting,0.0,0.0,0.0,,2018,2,BETTING
2018-04-01,BET LIVE_2,bettting,0.0,0.0,0.0,,2018,2,BETTING
2018-04-01,BET LIVE_3,bettting,0.0,0.0,0.0,,2018,2,BETTING
2018-04-01,BET LIVE_4,bettting,0.0,0.0,0.0,,2018,2,BETTING
2018-04-01,V-SOCCER,virtual,36991.0,1295.07,1354.79,3.662485469438512,2018,2,VIRTUAL
2018-04-01,BET SELF_1,bettting,8241.5,206.15,225.81,2.7399138506339864,2018,2,BETTING
2018-04-01,BET SELF_2,bettting,1129.5,56.83,73.97,6.5489154493138555,2018,2,BETTING
2018-04-01,BET SELF_3,bettting,612.5,52.13,48.59,7.933061224489796,2018,2,BETTING
2018-04-01,BET SELF_4,bettting,250.25,27.57,28.12,11.236763236763238,2018,2,BETTING
2018-04-01,V-SOCCER SELF_1,virtual,1275.5,44.75,50.3,3.943551548412387,2018,2,VIRTUAL
2018-04-01,V-SOCCER SELF_2,virtual,72.5,4.54,4.75,6.551724137931035,2018,2,VIRTUAL
2018-04-01,V-SOCCER SELF_3,virtual,95.25,7.76,6.9,7.244094488188976,2018,2,VIRTUAL
2018-04-01,V-SOCCER SELF_4,virtual,112.0,11.75,11.5,10.267857142857142,2018,2,VIRTUAL
2018-07-01,FINO,lottery,106998.0,7810.89,7924.51,7.406222546215817,2018,3,FINO
2018-07-01,JACKPOT,lottery,22458.0,2807.36,2894.24,12.887345266720098,2018,3,JACKPOT
2018-07-01,LOTO,lottery,2124.0,312.24,292.18,13.756120527306967,2018,3,LOTO
2018-07-01,SEVEN-IN-ROW,lottery,1182.5,131.29,151.37,12.800845665961946,2018,3,SEVEN-IN-ROW
2018-07-01,LUCKY-3,lottery,562.0,49.47,53.73,9.56049822064057,2018,3,LUCKY-3
2018-07-01,PLUS-5,lottery,323.5,27.24,38.05,11.761978361669241,2018,3,PLUS-5
2018-07-01,CAST WED,bettting,26.5,3.18,3.75,14.150943396226415,2018,3,CAST_GAMES
2018-07-01,CAST SAT,bettting,49.25,5.91,6.98,14.17258883248731,2018,3,CAST_GAMES
2018-07-01,CAST SUN,bettting,153.25,18.39,22.26,14.525285481239806,2018,3,CAST_GAMES
2018-07-01,CASTGOALS,bettting,9.75,1.17,1.42,14.564102564102562,2018,3,CAST_GAMES
2018-07-01,GREYHOUNDS,bettting,0.0,0.0,0.0,,2018,3,GREYHOUNDS
2018-07-01,BET PRE_1,bettting,3028.25,75.7,108.82,3.593494592586477,2018,3,BETTING
2018-07-01,BET PRE_2,bettting,1434.5,71.73,114.95,8.013245033112582,2018,3,BETTING
2018-07-01,BET PRE_3,bettting,1028.75,87.46,111.41,10.829647630619684,2018,3,BETTING
2018-07-01,BET PRE_4,bettting,2071.0,227.82,264.94,12.792853693867698,2018,3,BETTING
2018-07-01,BET LIVE_1,bettting,0.0,0.0,0.0,,2018,3,BETTING
2018-07-01,BET LIVE_2,bettting,0.0,0.0,0.0,,2018,3,BETTING
2018-07-01,BET LIVE_3,bettting,0.0,0.0,0.0,,2018,3,BETTING
2018-07-01,BET LIVE_4,bettting,0.0,0.0,0.0,,2018,3,BETTING
2018-07-01,V-SOCCER,virtual,3784.5,132.46,109.72,2.8991940811203594,2018,3,VIRTUAL
2018-07-01,BET_1,bettting,14052.0,351.42,387.53,2.757828067179049,2018,3,BETTING
2018-07-01,BET_2,bettting,4973.0,248.74,309.28,6.2191835913935245,2018,3,BETTING
2018-07-01,BET_3,bettting,6046.25,514.03,452.93,7.491089518296465,2018,3,BETTING
2018-07-01,BET_4,bettting,24972.25,2746.89,2747.17,11.000890988997789,2018,3,BETTING
2018-07-01,V-SOCCER_1,virtual,88948.75,3291.15,3436.95,3.8639666099860874,2018,3,VIRTUAL
2018-07-01,V-SOCCER_2,virtual,508.5,31.81,31.9,6.273352999016716,2018,3,VIRTUAL
2018-07-01,V-SOCCER_3,virtual,469.5,37.56,34.37,7.3205537806176775,2018,3,VIRTUAL
2018-07-01,V-SOCCER_4,virtual,424.75,43.76,41.56,9.784579164214243,2018,3,VIRTUAL
2018-10-01,FINO,lottery,117363.0,8570.37,8445.81,7.19631400015337,2018,4,FINO
2018-10-01,JACKPOT,lottery,16408.5,2051.13,2028.58,12.362982600481457,2018,4,JACKPOT
2018-10-01,LOTO,lottery,2279.0,335.01,321.23,14.095217200526546,2018,4,LOTO
2018-10-01,SEVEN-IN-ROW,lottery,655.5,72.82,76.42,11.658276125095348,2018,4,SEVEN-IN-ROW
2018-10-01,LUCKY-3,lottery,865.5,76.17,84.05,9.711149624494512,2018,4,LUCKY-3
2018-10-01,PLUS-5,lottery,436.0,36.63,69.19,15.869266055045872,2018,4,PLUS-5
2018-10-01,CAST WED,bettting,68.5,8.22,9.47,13.824817518248175,2018,4,CAST_GAMES
2018-10-01,CAST SAT,bettting,29.5,3.54,4.18,14.169491525423727,2018,4,CAST_GAMES
2018-10-01,CAST SUN,bettting,72.0,8.64,10.21,14.180555555555557,2018,4,CAST_GAMES
2018-10-01,CASTGOALS,bettting,0.25,0.03,0.04,16.0,2018,4,CAST_GAMES
2018-10-01,GREYHOUNDS,bettting,0.0,0.0,0.0,,2018,4,GREYHOUNDS
2018-10-01,BET PRE_1,bettting,0.0,0.0,0.0,,2018,4,BETTING
2018-10-01,BET PRE_2,bettting,0.0,0.0,0.0,,2018,4,BETTING
2018-10-01,BET PRE_3,bettting,0.0,0.0,0.0,,2018,4,BETTING
2018-10-01,BET PRE_4,bettting,0.0,0.0,0.0,,2018,4,BETTING
2018-10-01,BET LIVE_1,bettting,0.0,0.0,0.0,,2018,4,BETTING
2018-10-01,BET LIVE_2,bettting,0.0,0.0,0.0,,2018,4,BETTING
2018-10-01,BET LIVE_3,bettting,0.0,0.0,0.0,,2018,4,BETTING
2018-10-01,BET LIVE_4,bettting,0.0,0.0,0.0,,2018,4,BETTING
2018-10-01,V-SOCCER,virtual,0.0,0.0,0.0,,2018,4,VIRTUAL
2018-10-01,BET_1,bettting,12568.5,315.1,342.08,2.721724947288857,2018,4,BETTING
2018-10-01,BET_2,bettting,7145.0,357.38,401.38,5.617634709587124,2018,4,BETTING
2018-10-01,BET_3,bettting,12316.0,1046.92,955.2,7.755764858720364,2018,4,BETTING
2018-10-01,BET_4,bettting,28504.5,3135.52,3124.41,10.96111140346261,2018,4,BETTING
2018-10-01,V-SOCCER_1,virtual,44039.25,1629.45,1756.53,3.9885556634138863,2018,4,VIRTUAL
2018-10-01,V-SOCCER_2,virtual,207.25,12.95,11.9,5.741857659831122,2018,4,VIRTUAL
2018-10-01,V-SOCCER_3,virtual,470.25,37.62,35.61,7.572567783094099,2018,4,VIRTUAL
2018-10-01,V-SOCCER_4,virtual,126.75,13.07,12.19,9.617357001972387,2018,4,VIRTUAL
2019-01-01,FINO,lottery,81266.0,5513.47,5694.63,7.007395466738858,2019,1,FINO
2019-01-01,FINO SELF,lottery,2330.5,97.6,105.32,4.519201888006865,2019,1,FINO
2019-01-01,JACKPOT,lottery,13079.0,1504.48,1604.83,12.270280602492544,2019,1,JACKPOT
2019-01-01,LOTO,lottery,1229.5,167.29,166.31,13.52663684424563,2019,1,LOTO
2019-01-01,SEVEN-IN-ROW,lottery,916.5,101.01,106.8,11.653027823240588,2019,1,SEVEN-IN-ROW
2019-01-01,LUCKY-3,lottery,328.5,28.84,29.18,8.882800608828006,2019,1,LUCKY-3
2019-01-01,PLUS-5,lottery,385.5,32.35,31.47,8.163424124513618,2019,1,PLUS-5
2019-01-01,CAST WED,bettting,44.0,5.85,6.04,13.727272727272727,2019,1,CAST_GAMES
2019-01-01,CAST SAT,bettting,47.75,6.36,6.47,13.549738219895287,2019,1,CAST_GAMES
2019-01-01,CAST SUN,bettting,29.25,3.88,3.97,13.572649572649572,2019,1,CAST_GAMES
2019-01-01,CASTGOALS,bettting,7.5,0.9,1.03,13.733333333333334,2019,1,CAST_GAMES
2019-01-01,GREYHOUNDS,bettting,0.0,0.0,0.0,,2019,1,GREYHOUNDS
2019-01-01,BET_1,bettting,14541.25,363.95,396.49,2.726656924267171,2019,1,BETTING
2019-01-01,BET_2,bettting,8309.0,415.31,423.86,5.101215549404261,2019,1,BETTING
2019-01-01,BET_3,bettting,8766.0,683.67,645.74,7.366415697011179,2019,1,BETTING
