date,game,category,sales,first_commission,final_commission
q4-2018,BET_3,bettting,12316,1046.92,955.2
q4-2018,BET_4,bettting,28504.5,3135.52,3124.41
q4-2018,V-SOCCER_1,virtual,44039.25,1629.45,1756.53
q4-2018,V-SOCCER_2,virtual,207.25,12.95,11.9
q4-2018,V-SOCCER_3,virtual,470.25,37.62,35.61
q4-2018,V-SOCCER_4,virtual,126.75,13.07,12.19
q1-2019,FINO,lottery,81266,5513.47,5694.63
q1-2019,FINO SELF,lottery,2330.5,97.6,105.32
q1-2019,JACKPOT,lottery,13079,1504.48,1604.83
q1-2019,LOTO,lottery,1229.5,167.29,166.31
q1-2019,SEVEN-IN-ROW,lottery,916.5,101.01,106.8
q1-2019,LUCKY-3,lottery,328.5,28.84,29.18
q1-2019,PLUS-5,lottery,385.5,32.35,31.47
q1-2019,CAST WED,bettting,44,5.85,6.04
q1-2019,CAST SAT,bettting,47.75,6.36,6.47
q1-2019,CAST SUN,bettting,29.25,3.88,3.97
q1-2019,CASTGOALS,bettting,7.5,0.9,1.03
q1-2019,GREYHOUNDS,bettting,0,0,0
q1-2019,BET_1,bettting,14541.25,363.95,396.49
q1-2019,BET_2,bettting,8309,415.31,423.86
q1-2019,BET_3,bettting,8766,683.67,645.74
q1-2019,BET_4,bettting,19531.75,2109.31,2131.36
q1-2019,V-SOCCER_1,virtual,27953.25,978.41,1069.88
q1-2019,V-SOCCER_2,virtual,160.75,8.91,8.9
q1-2019,V-SOCCER_3,virtual,132.5,9.56,9.19
q1-2019,V-SOCCER_4,virtual,108.25,9.95,9.33
q2-2019,FINO,lottery,86926,5898.23,5972.35
q2-2019,FINO SELF,lottery,2808,117.49,128.05
q2-2019,JACKPOT,lottery,13002.5,1495.66,1601.08
q2-2019,LOTO,lottery,1187.5,161.52,171.43
q2-2019,SEVEN-IN-ROW,lottery,727.5,80.34,81.58
q2-2019,LUCKY-3,lottery,663.5,58.11,59.56
q2-2019,PLUS-5,lottery,469,39.19,57.18
q2-2019,CAST WED,bettting,7.5,1.01,1.02
q2-2019,CAST SAT,bettting,10.5,1.39,1.42
q2-2019,CAST SUN,bettting,24.25,3.22,3.29
q2-2019,CASTGOALS,bettting,7.5,0.9,1.03
q2-2019,GREYHOUNDS,bettting,0,0,0
q2-2019,BET_1,bettting,15818.25,395.57,410.48
q2-2019,BET_2,bettting,10204.75,510.38,577.91
q2-2019,BET_3,bettting,11132.5,868.35,817.54
q2-2019,BET_4,bettting,17480.5,1887.88,1859.16
q2-2019,V-SOCCER_1,virtual,15266.75,534.4,613.32
q2-2019,V-SOCCER_2,virtual,777.25,42.81,43.18
q2-2019,V-SOCCER_3,virtual,240.25,17.31,17.66
q2-2019,V-SOCCER_4,virtual,206.75,19.04,18.87
q3-2019,FINO,lottery,135536,9205.98,9437.88
q3-2019,FINO SELF,lottery,2477,103.82,111.23
q3-2019,JACKPOT,lottery,21769.5,2503.97,2909.93
q3-2019,LOTO,lottery,1665,226.51,214.36
q3-2019,SEVEN-IN-ROW,lottery,1166,128.59,132.52
q3-2019,LUCKY-3,lottery,704,61.54,71.94
q3-2019,PLUS-5,lottery,435,36.26,46.46
q3-2019,CAST WED,bettting,42,5.59,4.62
q3-2019,CAST SAT,bettting,11.75,1.57,1.49
q3-2019,CAST SUN,bettting,23,3.07,2.82
q3-2019,CASTGOALS,bettting,0.25,0.03,0.03
q3-2019,GREYHOUNDS,bettting,0,0,0
q3-2019,BET_1,bettting,41897,1047.51,1049.4
q3-2019,BET_2,bettting,14723,736.29,726.88
q3-2019,BET_3,bettting,9123.5,711.68,633.18
q3-2019,BET_4,bettting,21569.75,2329.53,2026.37
q3-2019,V-SOCCER_1,virtual,46363.75,1622.8,1784.09
q3-2019,V-SOCCER_2,virtual,696.75,38.43,36.09
q3-2019,V-SOCCER_3,virtual,232,16.7,15.82
q3-2019,V-SOCCER_4,virtual,240.25,22.13,21.73
q4-2019,FINO,lottery,79815,5415.96,5642.27
q4-2019,FINO SELF,lottery,2003.5,83.66,95.52
q4-2019,JACKPOT,lottery,14939.5,1718.49,1501.55
q4-2019,LOTO,lottery,827.5,112.61,99.84
q4-2019,SEVEN-IN-ROW,lottery,706,77.92,75.15
q4-2019,LUCKY-3,lottery,359.5,31.3,33.35
q4-2019,PLUS-5,lottery,281.5,23.52,39.04
q4-2019,CAST WED,bettting,4,0.53,0.59
q4-2019,CAST SAT,bettting,8.5,1.13,1.18
q4-2019,CAST SUN,bettting,50,6.65,7.01
q4-2019,CASTGOALS,bettting,0,0,0
q4-2019,GREYHOUNDS,bettting,0,0,0
q4-2019,BET_1,bettting,12897.25,322.5,281.72
q4-2019,BET_2,bettting,8842.75,442.31,414.13
q4-2019,BET_3,bettting,8804.25,686.79,577.03
q4-2019,BET_4,bettting,24834,2682.14,2417.17
q4-2019,V-SOCCER_1,virtual,38512.25,1347.97,1412.24
q4-2019,V-SOCCER_2,virtual,274.25,15.16,14.25
q4-2019,V-SOCCER_3,virtual,558.75,40.26,40.1
q4-2019,V-SOCCER_4,virtual,182,16.77,16.46
q1-2020,FINO,lottery,67309,4566.11,4613.67
q1-2020,FINO SELF,lottery,1750.5,73.04,79.63
q1-2020,JACKPOT,lottery,12482,1435.9,1645.11
q1-2020,LOTO,lottery,552.5,75.21,81.88
q1-2020,SEVEN-IN-ROW,lottery,782,86.21,93.92
q1-2020,LUCKY-3,lottery,498.5,43.28,47.37
q1-2020,PLUS-5,lottery,322.5,27.08,28.61
q1-2020,CAST WED,bettting,0.25,0.03,0.03
q1-2020,CAST SAT,bettting,1.25,0.16,0.17
q1-2020,CAST SUN,bettting,28.5,3.79,3.83
q1-2020,CASTGOALS,bettting,0,0,0
q1-2020,GREYHOUNDS,bettting,0,0,0
q1-2020,BET_1,bettting,14782.5,332.28,381.7
q1-2020,BET_2,bettting,7781,369.69,422.19
q1-2020,BET_3,bettting,3987.25,270.95,287.69
q1-2020,BET_4,bettting,12945,1269.44,1315.07
q1-2020,V-SOCCER_1,virtual,14751.25,516.33,559.63
q1-2020,V-SOCCER_2,virtual,400,22.04,21.07
q1-2020,V-SOCCER_3,virtual,433.5,31.19,28.25
q1-2020,V-SOCCER_4,virtual,75.5,6.95,6.5
q2-2020,FINO,lottery,48617,3296.96,3441.66
q2-2020,FINO SELF,lottery,211,8.84,9.55
q2-2020,JACKPOT,lottery,10341.5,1189.65,1255.85
q2-2020,LOTO,lottery,357,48.68,43.81
q2-2020,SEVEN-IN-ROW,lottery,360.5,39.85,40.34
q2-2020,LUCKY-3,lottery,321,28.08,29.02
q2-2020,PLUS-5,lottery,233,19.41,14.06
q2-2020,CAST WED,bettting,0,0,0
q2-2020,CAST SAT,bettting,7.5,1,1
q2-2020,CAST SUN,bettting,35.25,4.68,4.72
q2-2020,CASTGOALS,bettting,2.5,0.3,0.34
q2-2020,LUCKYSPIN,virtual,21.25,0.49,0.56
q2-2020,BET_1,bettting,3909.75,88.25,75.41
q2-2020,BET_2,bettting,2066.5,98.18,101.47
q2-2020,BET_3,bettting,3801.75,258.66,268.43
q2-2020,BET_4,bettting,5152.75,504.97,549.46
